,CTYNAME,FULLFP,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Area_squaremiles,1970 Population Density,1971 Population Density,1972 Population Density,1973 Population Density,1974 Population Density,1975 Population Density,1976 Population Density,1977 Population Density,1978 Population Density,1979 Population Density,1980 Population Density,1981 Population Density,1982 Population Density,1983 Population Density,1984 Population Density,1985 Population Density,1986 Population Density,1987 Population Density,1988 Population Density,1989 Population Density,1990 Population Density,1991 Population Density,1992 Population Density,1993 Population Density,1994 Population Density,1995 Population Density,1996 Population Density,1997 Population Density,1998 Population Density,1999 Population Density,2000 Population Density,2001 Population Density,2002 Population Density,2003 Population Density,2004 Population Density,2005 Population Density,2006 Population Density,2007 Population Density,2008 Population Density,2009 Population Density,2010 Population Density,2011 Population Density,2012 Population Density,2013 Population Density,2014 Population Density,2015 Population Density,2016 Population Density,2017 Population Density,2018 Population Density,2019 Population Density,2020 Population Density
20,Marin County,6041,208652,207000,215800,215800,211600,217000,221000,223600,223600,222900,222984,223909,223421,223974,223227,222453,224007,224932,226013,229176,230263,232088,233528,234606,234777,233943,232489,234518,236377,236768,247520,247866,246225,245054,243769,244206,244580,246248,248398,250862,252906,255380,256087,258441,260403,260974,260722,259975,260091,259085,257332,259278,256154,254407,8915,23.40459899046551,23.2192933258553,24.20639371845205,24.20639371845205,23.735277621985418,24.340998317442512,24.789680314077398,25.081323611890074,25.081323611890074,25.002804262478968,25.0122265844083,25.11598429613012,25.061245092540663,25.123275378575435,25.03948401570387,24.95266404935502,25.12697700504767,25.23073471676949,25.351991026360068,25.706786315199103,25.828715647784634,26.033426808749297,26.19495232753786,26.31587212563096,26.3350532809871,26.241503084688727,26.078407178911945,26.30600112170499,26.514526079641055,26.558384744812113,27.764441951766685,27.803252944475602,27.61918115535614,27.48782950084128,27.343690409422322,27.392708917554682,27.434660684240043,27.62176107683679,27.86292765002804,28.13931575995513,28.36859226023556,28.646102075154236,28.725406618059452,28.98945597307908,29.209534492428492,29.273583847448123,29.245316881660123,29.161525518788558,29.17453729669097,29.061693774537297,28.86505888951206
21,Mariposa County,6043,6015,6600,7400,7400,7900,8300,8700,9700,9700,10600,11201,11553,11802,11982,12311,12653,12872,13128,13513,13904,14412,14862,15242,15439,15553,15652,15836,15559,15786,15605,17101,17099,17243,17707,17844,17972,18219,18366,18412,18212,18302,18199,17912,17840,17745,17653,17498,17461,17361,17117,17160,17127,17053,16919,15746,0.3820017782293916,0.4191540708751429,0.46996062492061474,0.46996062492061474,0.5017147211990347,0.5271179982217706,0.5525212752445066,0.6160294678013464,0.6160294678013464,0.6731868411025023,0.711355264829163,0.7337101486091706,0.7495236885558237,0.7609551632160548,0.7818493585672551,0.8035691604216944,0.8174774545916423,0.8337355518861933,0.8581862060205766,0.883017909310301,0.9152800711291756,0.9438587577797536,0.9679918709513528,0.9805029848850502,0.9877429188365299,0.9940302298996571,1.0057157373301155,0.988123967991871,1.0025403277022735,0.9910453448494856,1.086053600914518,1.0859265845294044,1.0950717642575891,1.124539565603963,1.13324018798425,1.1413692366315256,1.1570557601930649,1.1663914644989204,1.169312841356535,1.156611202845167,1.1623269401752827,1.1557855963419281,1.137558745078115,1.1329861552140226,1.1269528769211228,1.1211101232058935,1.1112663533595835,1.1089165502349803,1.1025657309792962,1.0870697319954274,1.0898005842753715
22,Mendocino County,6045,51101,52000,55100,55100,56500,57200,58900,63000,63000,65000,67096,68385,69729,70697,71811,73391,74296,75318,76492,78443,80820,81543,81645,81629,81791,82483,82930,83268,83754,84085,86407,86841,87364,88140,88030,87981,87345,87071,87468,87722,87796,87335,87293,87070,87247,87131,87319,87690,87549,86932,86061,91321,90007,89108,41744,1.224151973936374,1.245688003066309,1.3199501724798774,1.3199501724798774,1.3534879264085857,1.3702568033729399,1.4109812188578,1.5091989267918742,1.5091989267918742,1.5571100038328862,1.6073208125718665,1.6381995017247988,1.6703957454963587,1.6935847067842085,1.7202711766960521,1.7581209275584515,1.7798006899195093,1.8042832502874664,1.8324070525105405,1.8791443081640475,1.9360866232272902,1.9534064775776159,1.9558499425067075,1.9554666538903795,1.9593474511307014,1.9759246837868916,1.9866328095055577,1.9947297815254887,2.006372173246455,2.014301456496742,2.069926216941357,2.0803229206592566,2.092851667305481,2.1114411651973937,2.108806055960138,2.107632234572633,2.0923965120735915,2.085832694518973,2.0953430433116136,2.101427750095822,2.1032004599463394,2.0921569566883864,2.091150824070525,2.0858087389804525,2.090048869298582,2.087270026830203,2.0917736680720584,2.100661172863166,2.0972834419317747,2.0825028746646224,2.061637600613262
23,Merced County,6047,104629,108000,114400,114400,117900,121500,126400,128400,128400,131800,135648,139634,142766,147658,151360,155935,158994,162956,167751,172990,179812,185381,188184,191195,195205,192175,190991,193893,197261,200746,212258,218816,225351,231735,237180,242554,245338,248540,250538,252302,256709,259249,260776,261888,264241,266133,267370,270837,273733,277114,279252,284610,290210,291920,21296,4.913082268970698,5.07137490608565,5.371900826446281,5.371900826446281,5.5362509391435015,5.705296769346356,5.935386927122464,6.029301277235161,6.029301277235161,6.188955672426747,6.369646882043576,6.556818181818182,6.703888054094666,6.9336025544703235,7.107438016528926,7.32226709241172,7.465909090909091,7.651953418482344,7.877113072877536,8.123121712997746,8.443463561232157,8.704968069120962,8.836589030803907,8.977977084898573,9.16627535687453,9.023995116453793,8.968397821187077,9.104667543200602,9.262819308790384,9.426465063861759,9.967036063110443,10.274981217129977,10.581846356123215,10.881620961682945,11.137302779864763,11.389650638617582,11.520379413974455,11.670736288504884,11.764556724267468,11.847389181066868,12.054329451540195,12.173600676183321,12.245304282494365,12.297520661157025,12.408010894064613,12.496853869271225,12.554939894815927,12.717740420736288,12.853728399699474,13.012490608564988,13.112885048835462
24,Modoc County,6049,7469,7700,7700,7700,7900,7900,8000,8300,8300,8400,8685,8990,9268,9467,9631,9500,9371,9350,9361,9662,9668,9693,9775,9590,9682,9578,9642,9603,9338,9210,9406,9350,9362,9501,9605,9565,9617,9525,9551,9646,9698,9513,9358,9154,9078,9064,8957,8864,8816,8866,8763,8641,8619,8500,45245,0.16507901425571886,0.17018455077909161,0.17018455077909161,0.17018455077909161,0.17460492872140568,0.17460492872140568,0.17681511769256272,0.1834456846060338,0.1834456846060338,0.18565587357719085,0.1919549121449884,0.19869598850701736,0.2048403138468339,0.2092385898994364,0.21286329981213395,0.2099679522599182,0.20711680848712566,0.20665266880318267,0.20689578959000995,0.21354845839319261,0.21368106973146203,0.2142336169742513,0.21604597193060007,0.21195712233395955,0.21399049618742402,0.21169189965742072,0.2131064205989612,0.21224444690020997,0.20638744612664384,0.20355840424356283,0.2078903746270306,0.20665266880318267,0.2069178914797215,0.2099900541496298,0.2122886506796331,0.2114045750911703,0.21255387335617196,0.2105204995027075,0.2110951486352083,0.2131948281578075,0.21434412642280914,0.21025527682616862,0.20682948392087525,0.2023206984197149,0.20064095480163555,0.20033152834567355,0.19796662614653554,0.1959111504033595,0.1948502596972041,0.19595535418278262,0.1936788595424909
25,Mono County,6051,4016,4500,6400,6400,6800,7100,7100,7100,7100,8200,8651,8914,9280,9222,8791,8805,8797,8915,9070,9512,10075,9806,9933,10260,10559,10488,10400,10410,10307,10512,12921,13224,13404,13352,13360,13474,13743,13678,13862,14008,14256,14424,14328,14064,14130,14074,14256,14333,14400,14450,14534,13271,13002,13066,33711,0.1191302542196909,0.13348758565453414,0.18984901070867077,0.18984901070867077,0.20171457387796268,0.21061374625493162,0.21061374625493162,0.21061374625493162,0.21061374625493162,0.2432440449704844,0.2566224674438611,0.2644240752276705,0.2752810655275726,0.27356055886802527,0.2607754145531132,0.2611907092640384,0.2609533980006526,0.2644537391355937,0.2690516448636943,0.2821630921657619,0.2988638723265403,0.2908842810951915,0.29465159740144165,0.3043516952923378,0.3132212037613835,0.31111506629883423,0.30850464240159,0.3088012814808223,0.3057458989647296,0.3118270000889917,0.3832873542760523,0.392275518376791,0.3976150218029723,0.3960724985909644,0.3963098098543502,0.3996914953575984,0.40767108658894724,0.4057429325739373,0.41120109163181157,0.41553202218860313,0.4228886713535641,0.42787220788466673,0.42502447272403665,0.417193201032304,0.41915101895523715,0.4174898401115363,0.4228886713535641,0.4251727922636528,0.4271602740945092,0.4286434694906707,0.431135237756222
26,Monterey County,6053,247450,252700,255300,255300,263500,271000,275900,284100,284100,286900,292262,299666,306236,313705,321465,328102,335846,341267,345944,349875,356947,361559,366296,362913,342872,343082,347292,358888,366631,371756,402990,407082,408977,409725,408731,405139,401831,402376,406022,410263,416358,420379,424222,426163,427985,430178,433436,433803,433359,433380,430906,437158,432884,430723,40593,6.095878599758579,6.225211243317814,6.289261695366196,6.289261695366196,6.491266967211096,6.67602788658143,6.7967383539033825,6.998743625748282,6.998743625748282,7.06772103564654,7.199812775601704,7.3822087552041,7.544059320572512,7.728056561476117,7.91922252605129,8.082723622299412,8.273495430246594,8.407040622767472,8.522257532086813,8.619096888626117,8.793314118197719,8.90692976621585,9.023624762890153,8.940285270859508,8.446579459512725,8.451752765255094,8.555465227994974,8.841130244130762,9.031877417288696,9.158130712191758,9.927573719606828,10.028379277215283,10.075062202842854,10.09348902520139,10.069002044687508,9.980513881703741,9.8990219988668,9.91244795900771,10.002266400610942,10.106742541817555,10.256891582292514,10.355948069864262,10.450619564949623,10.498435690882664,10.543320276895031,10.597344369718916,10.67760451309339,10.686645480747913,10.675707634321189,10.676224964895425,10.615278496292465
27,Napa County,6055,79140,81800,87700,87700,90800,93600,95000,96400,96400,98800,99365,99665,101180,101545,101905,103014,104241,105009,106130,108661,111215,111897,113631,114034,114956,115320,116387,117944,119540,120962,124565,126818,128744,130138,130387,130381,131440,132583,134093,135280,136752,137668,138504,139522,140331,140766,140778,139818,138620,137678,135965,136265,134370,133216,8488,9.323751178133836,9.63713477851084,10.332233741753063,10.332233741753063,10.697455230914231,11.027332704995288,11.192271442035816,11.357210179076343,11.357210179076343,11.639962299717247,11.706526861451461,11.741870876531573,11.920358152686145,11.963360037700284,12.005772855796419,12.136427898209236,12.2809849198869,12.371465598491989,12.503534401508011,12.801720075400565,13.10261545711593,13.182964184731386,13.38725259189444,13.43473138548539,13.543355325164939,13.586239396795476,13.711946277097079,13.895381715362864,14.083411875589066,14.250942507068803,14.67542412818096,14.940857681432611,15.167766258246937,15.331998114985863,15.361333647502356,15.360626767200754,15.485391140433553,15.620051837888784,15.797950047125353,15.937794533459002,16.111215834118756,16.219132893496703,16.317624882186617,16.4375589066918,16.532869934024504,16.584118755890668,16.585532516493874,16.472431668237512,16.33129123468426,16.220311027332706,16.01849670122526
28,Nevada County,6057,26346,27400,31300,31300,33000,34600,37400,44600,44600,48400,52591,56160,59088,60784,62828,65282,67718,70557,73370,76130,79185,81419,83131,84221,85644,87105,88579,89981,91114,92014,92520,93715,94647,95606,96512,97250,97549,97794,98200,98591,98795,98716,98165,97969,98605,98716,98939,99421,99472,99648,99606,103517,102401,102037,10482,2.5134516313680595,2.6140049608853273,2.9860713604273994,2.9860713604273994,3.1482541499713794,3.3008967754245373,3.5680213699675636,4.254913184506774,4.254913184506774,4.617439419958023,5.017267697004389,5.357756153405838,5.637092157985117,5.798893340965464,5.993894294981874,6.228009921770655,6.460408319023087,6.731253577561534,6.999618393436367,7.262926922343064,7.554378935317687,7.767506201106659,7.930833810341538,8.0348215989315,8.170578133943904,8.309959931310818,8.450581950009541,8.584335050562869,8.692425109711888,8.778286586529289,8.82655981682885,8.940564777714176,9.029479107040641,9.120969280671627,9.207403167334478,9.277809578324748,9.306334668956307,9.329708070978821,9.36844113718756,9.405743178782675,9.425205113527953,9.417668383896203,9.365102079755772,9.34640335813776,9.40707880175539,9.417668383896203,9.438942949818736,9.4849265407365,9.48979202442282,9.506582713222667,9.502575844304522
29,Orange County,6059,1421233,1484200,1607100,1607100,1669100,1725700,1772700,1853100,1853100,1892000,1948101,2004804,2045924,2088884,2123365,2171927,2228897,2281483,2333095,2383918,2417569,2445044,2483337,2513289,2541371,2572393,2606488,2665599,2723782,2760948,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016376,3050199,3078710,3105262,3126523,3148952,3164277,3174159,3175579,3170851,3166857,3160611,3150372,3135755,10205,139.26829985301322,145.43851053405194,157.48162665360118,157.48162665360118,163.55707986281234,169.10338069573737,173.7089661930426,181.5874571288584,181.5874571288584,185.39931406173446,190.8967172954434,196.4531112199902,200.48250857422832,204.6922097011269,208.07104360607545,212.8296913277805,218.41224889759923,223.56521313081822,228.62273395394413,233.6029397354238,236.90044096031357,239.59274865262125,243.3451249387555,246.28015678588926,249.03194512493874,252.0718275355218,255.41283684468397,261.2051935325821,266.9066144047036,270.5485546300833,279.7170994610485,282.74933855952963,284.98236158745715,287.0530132288094,288.2617344439,288.09946104850565,287.3357177853993,287.27378735913766,289.81803037726604,292.71700146986774,295.57824595786377,298.89260166585007,301.68642822146006,304.28829005389514,306.3716805487506,308.5695247427731,310.07123958843704,311.03958843704066,311.17873591376775,310.715433610975,310.32405683488486
30,Placer County,6061,77632,80900,85500,85500,88200,90900,95400,107700,107700,112800,118381,122444,126220,128535,132576,136787,141436,147360,153611,162656,175421,181342,186799,192007,198429,205963,213335,220477,229216,239485,251012,263615,276907,290726,302841,312762,321934,329023,337568,343810,350007,356323,360269,365415,369241,372870,379046,385348,392735,398918,402950,413047,418074,423561,16172,4.800395745733367,5.00247341083354,5.286915656690576,5.286915656690576,5.453870887954489,5.620826119218402,5.89908483799159,6.659658669304972,6.659658669304972,6.975018550581251,7.3201211971308435,7.571357902547613,7.8048478852337375,7.947996537224833,8.197872866683156,8.458261192184022,8.745733366312145,9.112045510759337,9.498577788770715,10.057877813504824,10.8472050457581,11.213331684392777,11.550766757358398,11.872804847885234,12.269910957209992,12.735777887707147,13.19162750432847,13.633255008656938,14.17363344051447,14.808619836754884,15.521395003710117,16.300704922087558,17.122619342072717,17.97712094978976,18.726255255998023,19.339722977986643,19.90687608211724,20.345226317091267,20.873608706406134,21.259584466979966,21.642777640366067,22.033329210981943,22.277331189710612,22.59553549344546,22.83211723967351,23.056517437546376,23.43841207024487,23.828097947069008,24.284875092752905,24.667202572347268,24.916522384368044
31,Plumas County,6063,11707,12100,13100,13100,13600,14000,14200,15800,15800,16700,17448,17809,18175,18022,18153,18609,18696,19014,19315,19412,19811,20095,20612,20745,20540,20518,20414,20429,20362,20370,20754,20820,20866,20957,21000,21010,20762,20667,20410,20169,19915,19720,19380,18901,18631,18435,18691,18680,18830,19052,18967,19958,19443,19131,28131,0.41616010806583487,0.4301304610571967,0.46567843304539475,0.46567843304539475,0.4834524190394938,0.49767160783477304,0.5047812022324126,0.5616579574135295,0.5616579574135295,0.5936511322029078,0.62024101525008,0.6330738331378195,0.6460843908855,0.6406455511713057,0.6453023355017596,0.661512210728378,0.6646048842913512,0.6759091393835982,0.6866090789520458,0.690057232234901,0.704240873058192,0.7143364971028403,0.7327147986207387,0.737442678895169,0.7301553446375885,0.729373289253848,0.7256763001670755,0.7262095197468984,0.7238278056236892,0.7241121893995948,0.7377626106430628,0.7401087767942839,0.741743983505741,0.744978848956667,0.7465074117521595,0.7468628914720415,0.7380469944189684,0.7346699370800895,0.7255341082791227,0.7169670470299669,0.7079378621449647,0.7010060076072661,0.6889196971312787,0.6718922185489318,0.6622942661121183,0.6553268636024315,0.6644271444314102,0.66403611673954,0.6693683125377697,0.6772599623191496,0.6742383847001528
32,Riverside County,6065,456916,477600,497900,497900,515900,528600,548000,611900,611900,640000,669614,693245,719837,746899,783193,825693,871208,930057,995974,1084571,1193639,1248277,1290328,1321304,1354966,1383646,1406769,1439674,1480708,1530653,1558985,1616634,1687147,1771656,1856542,1931785,2012370,2075183,2109712,2146725,2201562,2233840,2260763,2286087,2315238,2344648,2378282,2413058,2443221,2465569,2489188,2453399,2474241,2492442,78609,5.812515106412752,6.075640193870931,6.333880344489817,6.333880344489817,6.562861758831686,6.7244208678395605,6.971211947741352,7.784095968654989,7.784095968654989,8.141561398822018,8.518286710173136,8.818901143634953,9.157183019756008,9.501443855029322,9.963146713480645,10.503797275121169,11.082802223663958,11.831431515475327,12.669974175984938,13.797033418565304,15.184508135200804,15.879568497245863,16.414507244717527,16.80855881642051,17.23677950361918,17.60162322380389,17.89577529290539,18.314366039512016,18.836367337073362,19.47172715592362,19.832143902097723,20.565507766286302,21.462517014591203,22.537572033736595,23.617422941393478,24.57460341691155,25.59974048773041,26.398796575455737,26.83804653411187,27.30889592794718,28.006487806739685,28.4171023674134,28.75959495732041,29.081746364920047,29.452581765446705,29.82671195410195,30.254576447989415,30.696968540497906,31.080677784986452,31.36497093208157,31.665432711267158
33,Sacramento County,6067,634373,653800,669900,669900,683600,697400,711800,748300,748300,768500,788004,806286,832151,852630,869578,891104,916044,948520,979285,1008752,1075309,1103715,1114853,1119353,1119846,1128394,1141118,1152550,1166699,1184586,1229940,1266257,1301079,1328531,1348932,1360816,1369563,1381161,1394438,1408601,1421381,1433712,1444819,1457283,1474828,1493547,1511401,1527984,1539550,1551660,1559146,1588810,1584380,1584288,10699,59.292737639031685,61.10851481446864,62.61332834844378,62.61332834844378,63.89382185250958,65.18366202448827,66.52958220394429,69.9411159921488,69.9411159921488,71.82914291055239,73.65211702028228,75.36087484811665,77.7783905037854,79.69249462566594,81.27656790354239,83.28853163847089,85.61959061594541,88.65501448733527,91.53051687073558,94.2846995046266,100.50556126740817,103.16057575474343,104.20160762688101,104.62220768296102,104.66828675577156,105.46723992896533,106.65650995420133,107.72502103000281,109.04748107299747,110.71931956257595,114.95840732778764,118.35283671371157,121.6075334143378,124.1733806897841,126.08019441069258,127.19095242546032,128.00850546780072,129.0925320123376,130.33348911113188,131.65725768763437,132.85176184690158,134.00429946723992,135.04243387232452,136.20740256098702,137.8472754463034,139.5968782129171,141.2656323020843,142.8155902420787,143.89662585288346,145.0285073371343,145.7281988970932
34,San Benito County,6069,18226,18700,19700,19700,20200,20900,21900,23600,23600,24300,25202,25903,26915,27759,28960,30392,31648,32950,34372,36135,36828,37305,38283,39443,40728,42267,44089,46639,48984,51276,53781,54644,55056,55198,54849,54647,54124,54072,54267,54436,55544,56094,56704,57320,57891,58276,59270,60190,61415,62803,64055,66709,67643,68175,14967,1.2177457072225564,1.2494153805037749,1.3162290372152068,1.3162290372152068,1.3496358655709226,1.3964054252689249,1.4632190819803568,1.576802298389791,1.576802298389791,1.6235718580877931,1.6838377764415047,1.7306741497962184,1.7982895703881874,1.854680296652636,1.9349234983630654,2.030600654773836,2.114518607603394,2.2015099886416785,2.296519008485334,2.414311485267589,2.460613349368611,2.4924834636199638,2.557827219883744,2.6353310616690053,2.721186610543195,2.8240128282220884,2.9457473107503174,3.1161221353644684,3.272800160352776,3.425937061535378,3.5933052715975147,3.6509654573394803,3.67849268390459,3.6879802231576133,3.6646622569653236,3.6511658983096145,3.6162223558495357,3.612748045700541,3.6257767087592705,3.6370682167435024,3.711097748379769,3.7478452595710565,3.7886015901650296,3.829758802699272,3.867909400681499,3.8936326585154006,3.9600454332865636,4.021513997461081,4.103360726932585,4.196098082448052,4.279748780650765
35,San Bernardino County,6071,682233,693600,704300,704300,713900,719900,734500,823900,823900,856800,903112,932934,966763,996561,1027821,1072235,1124170,1192192,1271182,1352915,1437012,1491021,1532114,1545508,1553732,1569793,1588541,1609221,1635967,1669934,1718037,1760731,1799791,1846115,1899065,1943924,1974140,1992161,2003735,2013960,2040803,2060596,2073088,2082101,2098346,2114352,2130726,2149847,2165627,2177279,2189183,2193087,2194908,2195611,216410,3.152502194907814,3.205027494108405,3.254470680652465,3.254470680652465,3.2988309227854535,3.3265560741185713,3.3940206090291576,3.8071253638926112,3.8071253638926112,3.9591516103692066,4.1731528117924315,4.310956055635137,4.46727507970981,4.604967422947183,4.749415461392727,4.954646273277575,5.194630562358486,5.508950603022042,5.873952220322536,6.25162885264082,6.640229194584354,6.889797144309413,7.07968208493138,7.14157386442401,7.179575805184603,7.2537914144448035,7.340423270643686,7.435982625571831,7.5595721084977585,7.716528811053093,7.938805970149254,8.136088905318609,8.316579640497205,8.530636292223095,8.775310752737859,8.982597846679914,9.122221708793495,9.205494200822512,9.258976017744097,9.306224296474285,9.430262002680099,9.521722656069498,9.579446421145049,9.621094219305947,9.696160066540363,9.77012152858001,9.845783466568088,9.93413890300818,10.007056051014278,10.060898294903193,10.115904995148098
36,San Diego County,6073,1357854,1391900,1499600,1499600,1540700,1616900,1642800,1775400,1775400,1827600,1875284,1927017,1972358,2018133,2066418,2126092,2196830,2275305,2364290,2444387,2513216,2554271,2601147,2609266,2626939,2641561,2673685,2722060,2766123,2820844,2827366,2869672,2900355,2914702,2930007,2938375,2947289,2975742,3022116,3061203,3103260,3137236,3175148,3210788,3249307,3280825,3305462,3319019,3332483,3330459,3332427,3274432,3277176,3269973,48713,27.87457146962823,28.573481411532857,30.78439020384702,30.78439020384702,31.62810748670786,33.19237164617248,33.72405723318211,36.44612321146306,36.44612321146306,37.517705745899455,38.49658202122637,39.55857779237575,40.48935602405928,41.42904358179541,42.42025742614908,43.645269229979675,45.09740726294829,46.70837353478537,48.53509330158274,50.17935663991132,51.59230595528914,52.435099460103054,53.39738878738735,53.564058875454194,53.926857307084354,54.2270235871328,54.88647794223308,55.8795393426806,56.78408227783138,57.90741691129678,58.0413031428982,58.909777677416706,59.53965060661425,59.834171576375915,60.14835875433663,60.320140414263136,60.503130581159034,61.08722517603104,62.03920924599183,62.841602857553426,63.704965820212266,64.40243877404389,65.18071151438015,65.91234372754707,66.70307720731633,67.35009135138463,67.85584956787716,68.13415310081498,68.41054749245582,68.3689980087451,68.40939790199741
37,San Francisco County,6075,715674,708100,700000,700000,698400,686100,686100,677700,677700,675800,679193,686920,695544,704803,713200,727975,737398,736500,730462,725887,722749,725237,727291,729746,729051,730628,735228,740993,745756,746777,777885,780865,772723,766160,761325,763016,768650,778673,791152,801922,805519,815694,828963,839695,850918,863237,871343,877471,879676,878826,866606,811935,807774,808988,2496,286.72836538461536,283.6939102564103,280.44871794871796,280.44871794871796,279.8076923076923,274.8798076923077,274.8798076923077,271.5144230769231,271.5144230769231,270.75320512820514,272.11258012820514,275.2083333333333,278.66346153846155,282.37299679487177,285.7371794871795,291.65665064102564,295.43189102564105,295.07211538461536,292.65304487179486,290.8201121794872,289.56290064102564,290.5596955128205,291.3826121794872,292.3661858974359,292.08774038461536,292.71955128205127,294.5625,296.8721955128205,298.78044871794873,299.18950320512823,311.6526442307692,312.8465544871795,309.5845352564103,306.95512820512823,305.01802884615387,305.6955128205128,307.95272435897436,311.96834935897436,316.96794871794873,321.28285256410254,322.7239583333333,326.8004807692308,332.11658653846155,336.41626602564105,340.9126602564103,345.84815705128204,349.09575320512823,351.5508814102564,352.43429487179486,352.09375,347.1979166666667
38,San Joaquin County,6077,291073,296200,303900,303900,306700,309800,317700,332700,332700,338400,350186,361460,373481,385716,398727,416044,430786,445725,457136,466859,484360,494221,503293,509810,516797,523653,531560,539997,549684,563183,567885,591207,609041,626778,642898,656985,662812,668080,671692,677736,687115,694265,699444,701831,711296,721919,732662,743286,752590,761571,767967,788354,794293,800965,15355,18.956235753826114,19.290133507000977,19.791598827743407,19.791598827743407,19.973949853467925,20.1758384890915,20.69032888309997,21.667209378052753,21.667209378052753,22.03842396613481,22.805991533702375,23.54021491370889,24.32308694236405,25.11989579941387,25.967241940735917,27.09501790947574,28.055096059915336,29.02800390752198,29.771149462715726,30.404363399544124,31.5441224356887,32.18632367307066,32.777140996418105,33.20156300879192,33.65659394334093,34.10309345490069,34.61803972647346,35.16750244220124,35.798371865841744,36.67749918593292,36.98371865841745,38.50257245197004,39.664018235102574,40.81914685770108,41.86896776294367,42.78638879843699,43.16587430804298,43.508954737870404,43.74418756105503,44.137805275154676,44.74861608596548,45.21426245522631,45.551546727450344,45.707000976880494,46.3234125691957,47.01523933572126,47.714881146206444,48.406773038098336,49.01269944643439,49.59759036144578,50.01413220449365
39,San Luis Obispo County,6079,105690,109300,119800,119800,125500,126500,134300,145900,145900,150900,156829,161889,166561,171369,177555,185250,192490,199339,204257,213311,218117,219091,220353,221030,223264,225664,228546,231426,234074,236953,247839,251462,253083,254674,256842,258615,260498,262770,266358,268145,269800,271056,274174,275713,278271,280138,281884,282473,283250,282728,282249,279464,282046,281639,38917,2.715779736362001,2.8085412544646298,3.078346224015212,3.078346224015212,3.2248117789140993,3.250507490299869,3.4509340391088728,3.7490042911838013,3.7490042911838013,3.87748284811265,4.029832720918878,4.159853020530873,4.2799033841251894,4.4034483644679705,4.562402035100342,4.76013053421384,4.946167484646812,5.122157411927949,5.248528920523165,5.481177891409923,5.604671480329933,5.629699103219672,5.662127090988514,5.67952308759668,5.73692730683249,5.798597014158337,5.872652054372125,5.946655703163142,6.01469794691266,6.088675899992292,6.36839941413778,6.461494976488424,6.503147724644757,6.544029601459516,6.599737903743865,6.645296400030835,6.693681424570239,6.752062080838708,6.844258293290849,6.890176529537221,6.932702931880669,6.964976745381196,7.0450959734820255,7.084641673304725,7.150371303029524,7.198345196186756,7.24320990826631,7.258344682272528,7.278310250019271,7.2648970886759,7.252588842922116
40,San Mateo County,6081,557361,556300,567100,567100,568400,575400,580600,582600,582600,585600,587968,591736,595854,606458,613706,620189,621588,628247,636605,646073,650050,654577,661529,667971,673139,677837,685365,695689,701080,702102,707820,705621,697628,693057,690161,690078,690176,693849,703830,713617,719948,728945,739700,749131,757653,765479,767928,768658,768410,764810,758308,739149,728929,726353,7976,69.87976429287863,69.74674022066199,71.10080240722166,71.10080240722166,71.26379137412236,72.14142427281845,72.79338014042126,73.04413239719158,73.04413239719158,73.42026078234704,73.71715145436309,74.18956870611835,74.70586760280842,76.03535606820462,76.94408224674022,77.75689568706119,77.93229689067202,78.76717652958877,79.8150702106319,81.00213139418254,81.50075225677031,82.06832998996991,82.9399448345035,83.74761785356068,84.39556168505517,84.98457873620863,85.92841023069208,87.22279338014042,87.8986960882648,88.02683049147443,88.74373119358074,88.46802908726178,87.46589769307924,86.8928034102307,86.52971414242728,86.51930792377131,86.53159478435306,86.99210130391174,88.24348044132397,89.4705366098295,90.26429287863591,91.39230190571715,92.7407221664995,93.9231444332999,94.99159979939819,95.97279338014042,96.27983951855566,96.37136409227683,96.34027081243731,95.88891675025076,95.07372116349048
41,Santa Barbara County,6083,264324,269900,277400,277400,278400,282600,286100,295400,295400,295400,300236,305587,313072,322287,329127,338566,345647,352019,355812,365700,370420,374051,376523,378009,381528,381289,382215,386789,389472,391071,399990,403164,405178,406810,407284,408079,408085,411243,415859,420356,424218,425404,429635,434503,438921,442051,444112,444998,445137,445464,444766,437521,443915,441257,40785,6.480912100036778,6.617629030280741,6.801520166727964,6.801520166727964,6.826038984920927,6.9290180213313715,7.014833885006743,7.2428588942013,7.2428588942013,7.2428588942013,7.361431898982469,7.492632095133015,7.676155449307343,7.9020963589554984,8.069805075395365,8.301238200318744,8.474855951943116,8.631089861468677,8.724089738874586,8.966531813166606,9.082260635037391,9.17128846389604,9.231898982469046,9.268333946303787,9.354615667524826,9.348755669976708,9.37146009562339,9.483609170038005,9.549393159249725,9.588598749540273,9.80728208900331,9.885104817947775,9.934485717788403,9.974500429079319,9.986122348902782,10.005614809366188,10.005761922275346,10.083192350128725,10.196371214907442,10.306632340321196,10.40132401618242,10.430403334559275,10.5341424543337,10.653500061297045,10.761824200073557,10.83856810101753,10.889101385313229,10.910825058232193,10.914233173961016,10.922250827510114,10.905136692411427
